                     Ubicación                    |    Fecha   |   Hora   |           Actividad
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando limites del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posiciones.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando tamaño del surbárbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando tamaño del surbárbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo derecho.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Calculando posición.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo la raíz del árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Dibujando árbol.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo dato.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Obteniendo nodo izquierdo.
                     Guatemala                    | 23-03-2025 | 17:37:57 |  Dibujando árbol.
